City,Agartala,Ahmedabad,Aizawl,Bengaluru,Bhopal,Bhubaneswar,Chandigarh,Chennai,Dehradun,Delhi,Gangtok,Gurugram,Guwahati,Hyderabad,Imphal,Itanagar,Jaipur,Kohima,Kolkata,Lucknow,Mumbai,Panaji,Patna,Raipur,Ranchi,Shillong,Shimla,Thiruvananthapuram,Visakhapatnam
Imphal,0.2378397243343026,0.19777823589052887,0.3944674054649698,0.2502978253360365,0.22885764731455496,0.1990582918059416,0.189872203805482,0.20432431346839836,0.27662314213532846,0.11620827182165538,0.20184737108462034,0.09553267705139125,0.2671775787249847,0.23846829763355998,1.0,0.2966924149341063,0.19817735895557617,0.20621373822992006,0.16798122553342298,0.1660576441921887,0.14889669743340664,0.20932539610499146,0.15583208496114687,0.15211846168903356,0.19736448712887308,0.3036595246352451,0.21006915197239973,0.21871423911033375,0.1631526559941764
Itanagar,0.22081823040212004,0.17061686802524784,0.3239291533631867,0.18388134890924845,0.21362830997079704,0.20759596366554356,0.16219032380386691,0.204560274302694,0.24440390521383976,0.10470056238246368,0.23385023513453232,0.08731895035859114,0.37031192922909606,0.2002620082603023,0.2966924149341063,1.0,0.1692004828235294,0.2493588544959417,0.16138501604634456,0.1542212391762106,0.15108467182767163,0.2371937117926863,0.14762202432384913,0.13933139134010164,0.1877687182250568,0.24888027453816303,0.1777290027771202,0.2718068303504284,0.14672998819414906
Jaipur,0.22089343404369408,0.31648063999218257,0.15999689146860333,0.20632627565863232,0.33160697429506725,0.23023824941796803,0.36992929568091076,0.21505492174759727,0.2481920292583033,0.15734211312692298,0.13688732218390245,0.11985449705098956,0.18408762196405376,0.3432197680827626,0.19817735895557617,0.1692004828235294,1.0,0.1275749362902095,0.2031814635223766,0.29491517719392335,0.194843373755416,0.16629122688835232,0.24487614823696366,0.1939388196560391,0.28664009328689044,0.17427426500102655,0.15783871682358958,0.16338514016988023,0.1742134164377839
Kohima,0.1612345424565013,0.12793492516577393,0.23584770725655135,0.15628862415953265,0.1484369692854148,0.14689138527534173,0.1267126538842842,0.14729884657843853,0.16729072952082064,0.09391776242434297,0.29512746437957155,0.08133316387899726,0.2064072877229063,0.144934209053446,0.20621373822992006,0.2493588544959417,0.1275749362902095,1.0,0.13147525962928314,0.12076449178591551,0.12767847532448034,0.19076419180343693,0.11767237777244265,0.1181379360686585,0.1423030582205062,0.21537864197234285,0.1758475048410536,0.19799161946589305,0.1248949128005494
Kolkata,0.28721881800627,0.18453307179302822,0.14657221609017304,0.160851176856062,0.1872440467849227,0.2947891598859174,0.25303019704908997,0.20213164240084183,0.2037397020656022,0.19601453767628066,0.135287989457676,0.14028153863909099,0.20933507456479028,0.204828986102251,0.16798122553342296,0.16138501604634456,0.2031814635223766,0.13147525962928314,1.0,0.30483873080910184,0.2588383559328749,0.1715192758346194,0.3206915501650157,0.2478647195507718,0.2177683690989119,0.14956961778709332,0.12848308905335595,0.16783321830127404,0.266119805780904
Lucknow,0.23782696288107336,0.20951235768406795,0.14091315195526238,0.164042910068149,0.23023205928653487,0.27915686283627833,0.3665585553413502,0.2004222993478957,0.22716961807259745,0.19658402222121127,0.13100351172054692,0.14052671217500037,0.18633174372824063,0.24044830884061838,0.1660576441921887,0.1542212391762106,0.29491517719392335,0.12076449178591551,0.30483873080910184,1.0,0.2455490942270285,0.1549164760845958,0.5481123937221997,0.21830578961233396,0.27940405675203306,0.15383537586026963,0.13827760781606607,0.15692327050723975,0.19366277828493858
Mumbai,0.20662839627373683,0.1718908085084938,0.13042144544005507,0.16216178421139443,0.19951391751666112,0.2653230355643231,0.22231652068997815,0.22297520882036923,0.18671380584128078,0.15862981654706412,0.13713880498618017,0.1191219808389968,0.17804571985284304,0.21240706000529921,0.14889669743340664,0.15108467182767163,0.194843373755416,0.12767847532448034,0.2588383559328749,0.2455490942270285,1.0,0.1702693713711575,0.2611110608642172,0.20980237250525438,0.2711011694837661,0.1509759911971112,0.13109866016252253,0.17901004531087916,0.20569462778842754
Panaji,0.23826027025513877,0.19010209895785105,0.20135543454916774,0.22247788642475502,0.2137677841036704,0.22573124160442182,0.15858808894729265,0.2773558523147557,0.17345484024269592,0.10727510963187951,0.1591904920661166,0.09025976294361117,0.2563775715157178,0.21374528683898278,0.20932539610499146,0.2371937117926863,0.16629122688835232,0.19076419180343693,0.1715192758346194,0.1549164760845958,0.1702693713711575,1.0,0.15144003364549777,0.1460493206890428,0.1859585431958403,0.18810994542117038,0.13612463014649673,0.3184725505337113,0.1710339561204496
Patna,0.2282389220005366,0.1865711833890221,0.13400797266855408,0.15650715056974998,0.2099835052670037,0.2834241193566984,0.3130771025913946,0.19766653875440782,0.21004500037848528,0.1941441339435456,0.1279172279182241,0.1392410056994409,0.18085986684889752,0.2208294277340716,0.15583208496114687,0.14762202432384913,0.24487614823696366,0.11767237777244265,0.3206915501650157,0.5481123937221996,0.2611110608642172,0.15144003364549777,1.0,0.20653034023798006,0.2671579403181649,0.14858774046027312,0.13218522501081167,0.15607983648858192,0.19356852096585206
Raipur,0.19408624456690304,0.19454499490020968,0.13390153450494474,0.15235823085178218,0.16850969600501445,0.1922915045578154,0.21828882342885583,0.1678458899380957,0.1714456078681087,0.20382322337035583,0.11923698992018547,0.14149996458790914,0.15814946132082305,0.18345040068586405,0.15211846168903356,0.13933139134010164,0.1939388196560391,0.1181379360686585,0.2478647195507718,0.21830578961233396,0.20980237250525438,0.1460493206890428,0.20653034023798006,1.0,0.18569941110821964,0.13193850674459,0.12179950628105228,0.13634378539334435,0.2772055297153847
Ranchi,0.22921300066923472,0.21228129327691275,0.1637195371616274,0.20807211836829817,0.3476624925434909,0.3054202312062352,0.292760117161388,0.2701925773275065,0.27716913378517016,0.1418676745482437,0.1605552670540289,0.10903284794318037,0.21125452849479245,0.3354168058225547,0.19736448712887308,0.1877687182250568,0.28664009328689044,0.1423030582205062,0.2177683690989119,0.27940405675203306,0.2711011694837661,0.1859585431958403,0.2671579403181649,0.18569941110821964,1.0,0.20956130054315494,0.17410403259286783,0.20851718886251963,0.17835390117351804
Shillong,0.19089230137568167,0.15729679531188512,0.26193058311758377,0.22889120199071375,0.21493449090985217,0.18439513041844394,0.1711016591874142,0.19273149874881532,0.25515326201486715,0.10699210997835092,0.25340760293114833,0.08920022112920327,0.22159230414998113,0.21278845919161532,0.3036595246352451,0.24888027453816303,0.17427426500102655,0.21537864197234285,0.14956961778709332,0.15383537586026963,0.1509759911971112,0.18810994542117038,0.14858774046027312,0.13193850674459,0.20956130054315494,1.0,0.2891615139857361,0.23172743948728944,0.1395523647294398
Shimla,0.14722689341480028,0.1355364383793102,0.19043332421828368,0.16930717692814035,0.1707102597474063,0.14256803910624746,0.15649922253356197,0.1410621730270029,0.21933944845188616,0.10499277766429368,0.2366594508195377,0.08846503960420261,0.1596750430884748,0.1668216077341522,0.21006915197239973,0.1777290027771202,0.15783871682358958,0.1758475048410536,0.12848308905335595,0.13827760781606607,0.13109866016252253,0.13612463014649673,0.13218522501081167,0.12179950628105228,0.17410403259286783,0.2891615139857361,1.0,0.1529371380859491,0.11880102921321846
Thiruvananthapuram,0.22647858853944752,0.16532990597341568,0.20624262174972033,0.20877552345766426,0.2197668043193109,0.24303726355177574,0.15967596099208375,0.29154312295270224,0.19905969068699345,0.10427977213354582,0.1874474827741845,0.08711265561548301,0.28942555041621637,0.21737093603460528,0.21871423911033375,0.2718068303504284,0.16338514016988023,0.19799161946589305,0.16783321830127404,0.15692327050723975,0.17901004531087916,0.3184725505337113,0.15607983648858192,0.13634378539334435,0.20851718886251963,0.23172743948728944,0.1529371380859491,1.0,0.15634360060950042
Visakhapatnam,0.22525086461944602,0.18730236789245902,0.14362489364938597,0.17515748428703196,0.16592196772846754,0.21248072820375968,0.2029721764202322,0.19804653022105717,0.16665428704065294,0.1722084804818269,0.12100047685015038,0.12729793723255012,0.17349350973117375,0.19170598262445,0.1631526559941764,0.14672998819414906,0.1742134164377839,0.1248949128005494,0.266119805780904,0.19366277828493858,0.20569462778842754,0.1710339561204496,0.193568520965852,0.2772055297153847,0.17835390117351804,0.1395523647294398,0.11880102921321847,0.15634360060950042,1.0
