Feature,Mutual Information,F Score
Surface_Pressure_hPa,0.21602163803610175,44028.2954334294
CO_ugm3_RollingStd_12H,0.20715977686454679,88986.16009146112
O3_ugm3_Lag_3H,0.20657769582762597,58395.56799568588
O3_ugm3_RollingMean_6H,0.20371662129118207,67072.36512393643
Week,0.19808873837233598,10337.015570900121
Week_of_Year,0.19768338027260057,10337.015570900121
O3_ugm3_EMA_6H,0.19718966398079196,74037.14315606197
PM_Ratio,0.19188147039973735,12062.677113289834
NO2_ugm3_EMA_6H,0.19148514939050898,111436.96623325368
NO2_ugm3_RollingStd_12H,0.18556901614992327,108230.45501519502
PM10_ugm3_Change,0.1734414413888281,1326.6950982176127
NO2_ugm3_RollingMean_6H,0.17202168063529655,101342.31268141032
Month,0.16605296546238968,10486.000332018453
NO2_ugm3_RollingMin_24H,0.1638461608710946,50142.42323468939
NO2_ugm3_Lag_12H,0.16259550407846213,98991.89218885335
SO2_ugm3_PctChange,0.16243941837212095,20.88667988037816
CO_ugm3_RollingStd_6H,0.1609836191299685,72348.87413661614
NO2_ugm3_Lag_24H,0.1564580729772862,95835.28963762814
PM2_5_ugm3_Change,0.15420318844156888,446.5713827400108
O3_ugm3_Lag_1H,0.1531012259646829,50522.77529809622
NO2_ugm3,0.1523195719955046,92537.08407905122
NO2_ugm3_RollingMin_12H,0.15072892600246313,62371.445253498605
SO2_ugm3_Change,0.15043746824084803,27.66346689095572
NO2_ugm3_Lag_6H,0.1495068975030973,87982.13961215217
NO2_ugm3_Lag_1H,0.1485706817418091,90136.52544440444
O3_ugm3_RollingMin_6H,0.14779142589053418,26302.71092658789
NO2_ugm3_RollingStd_6H,0.14746306054848723,83406.23475422204
US_AQI_NO2,0.14710001344929502,91694.96265550259
NO2_ugm3_Lag_3H,0.14591149281601634,87129.86449839106
NO2_ugm3_RollingMin_6H,0.14465248439741973,70325.85171796654
O3_ugm3,0.13830623783542695,45628.47170649262
PM2_5_ugm3_PctChange,0.13450711040937335,134.5130549250024
O3_ugm3_Lag_24H,0.1320605467799476,42082.105002609496
Quarter,0.12949304157393637,10325.132899755556
Temp_Humidity,0.1284895443941263,37294.94605728814
PM25_NO2_Ratio,0.1251549418265352,39696.28581908683
O3_ugm3_Lag_12H,0.12475940566658572,30936.34635623243
Weather_Stress_Index,0.12149775494133941,83539.36873380638
O3_ugm3_RollingStd_6H,0.11987051844273111,75832.19289482963
CO_ugm3_Change,0.1125318293483728,21.554924911818166
O3_ugm3_RollingMin_12H,0.11179809997887347,6441.010113207634
Cloud_Low_Percent,0.1111176530032898,40013.72276022935
Dust_ugm3,0.11076850031426844,660551.8883853161
Dew_Point_C,0.11072866861932784,23027.192902479834
NO2_ugm3_Change,0.10895801368589719,202.7507341133207
O3_ugm3_RollingMin_24H,0.10612882207535446,240.9329550680708
Month_Sin,0.09663752033593109,39637.838121099005
Cloud_Cover_Percent,0.09591300857924967,67499.35831859394
Rain_PM10,0.09287998465942682,10.691746328927369
O3_ugm3_PctChange,0.08926246466721821,152.30402675282272
O3_NO2_Ratio,0.0874324025729436,3047.028897441618
O3_ugm3_Change,0.08534976311339104,1364.7989410120736
Cloud_High_Percent,0.08000950832102394,52976.00984957414
Cloud_Mid_Percent,0.07980630349994566,29544.420651683857
Month_Cos,0.07878761040400661,25662.60826614591
PM10_ugm3_PctChange,0.07651562803642165,122.17619999950679
Heavy_Cloud,0.06769432703639033,50268.69909026262
Humidity_Percent,0.06677601987619841,44185.376775602024
Temp_Dew_Diff,0.06385909097186193,38928.35006647913
Pressure_MSL_hPa,0.061630627656946046,11601.80110309464
Dry_Day,0.059145702491643526,41007.91496456606
Rain_mm,0.059121829890220745,7989.174448732748
Is_Raining,0.0573209496476732,41010.385438394835
Precipitation_mm,0.05686938183262047,7987.908811506727
Temp_2m_C,0.055221607906989156,637.8820951714733
NO2_ugm3_PctChange,0.054551378857508936,464.40451592476444
Northern_India,0.0523286183185796,59231.46177482105
Wind_Gust_Ratio,0.04934875209186451,20.204292911225238
CO_ugm3_PctChange,0.04445284317318787,532.1689947593163
Temp_Wind,0.0414924198131299,378.46590552465847
CO_NO2_Ratio,0.039935924268862166,733.4133341959138
Solar_O3,0.038727962511170055,8294.408571827995
Wind_Dir_10m,0.03768532247320433,18.289944875491393
Wind_Speed_10m_kmh,0.03613639960397741,576.384731707592
Wind_Gusts_kmh,0.02533916624034127,6533.562618517753
Days_in_Month,0.022485822809872325,1805.2790234411093
Diffuse_Radiation_Wm2,0.018581950559666716,2162.280942062937
Day,0.014521765976699186,0.20560936600133287
Day_of_Month,0.014263572239431532,0.20560936600133287
Year,0.014144616242466768,2227.2093568538926
Crop_Burning_Season,0.009914077851179925,1185.8257655559419
Direct_Radiation_Wm2,0.008625679493032834,317.98713576798565
Coastal_State,0.007980523864601352,3736.34678444356
High_Wind,0.007954963002648086,3541.7081848822436
Solar_Radiation_Wm2,0.007314719322454977,7.257438345813524
Inland_State,0.007033435442781233,3736.346784406838
Hour_Sin,0.00519543545895651,1384.1194433311887
Festival_Period,0.004935342119796182,1238.8774223935575
Sunshine_Seconds,0.0044904883447651756,745.8543913403257
Hour,0.004471804830679105,836.2612512532355
Week_of_Month,0.0041845048777666705,0.7182278540956841
Wind_Stagnation,0.004146313123008838,1394.3747274077512
Weekday_Sin,0.0027774191699245776,5.475545265001118
Heavy_Rain,0.0021986405465881376,600.3340905790361
Is_Daytime,0.0020457958202282356,308.20241947373916
Is_Weekend,0.0011257526352030922,11.902017280679662
Day_of_Week,0.001122664435642129,2.1273800260438516
Is_Quarter_End,0.0009379980995243287,2.2001254624204227
Hour_Cos,0.0008271566048971835,4.291427495706311
Weekday_Cos,0.0006129314599094826,11.926614608595617
Is_Month_Start,0.0005984569713088916,1.1456585694966532
Pollution_Count,0.00022901056957991273,0.0
Is_Month_End,2.7611143967654073e-05,6.898322551445991
Temp_Inversion,0.0,0.0
Is_Quarter_Start,0.0,10.762148850671245
