Principal Component,Explained Variance,Cumulative Variance
PC68,0.001267554942877013,0.970215615938233
PC69,0.001231720169210868,0.9714473361074439
PC70,0.001201638843686158,0.9726489749511301
PC71,0.0011619061877322905,0.9738108811388624
PC72,0.0010798072812325211,0.9748906884200949
PC73,0.0010546156997501385,0.975945304119845
PC74,0.0009679194137031743,0.9769132235335483
PC75,0.0009076006084465237,0.9778208241419948
PC76,0.0008786730195520504,0.9786994971615468
PC77,0.0008601305139716634,0.9795596276755185
PC78,0.0008330554462195523,0.9803926831217381
PC79,0.0007877382265609635,0.9811804213482991
PC80,0.0007824380807092151,0.9819628594290083
PC81,0.0007534190522840596,0.9827162784812924
PC82,0.0007104975117643473,0.9834267759930567
PC83,0.00068175858045839,0.9841085345735151
PC84,0.0006552995586542144,0.9847638341321693
PC85,0.0006427636162129616,0.9854065977483822
PC86,0.0006265470582500168,0.9860331448066323
PC87,0.0006026453470665922,0.9866357901536988
PC88,0.0005561148689937628,0.9871919050226926
PC89,0.0005496722183430402,0.9877415772410356
PC90,0.0005250053326958196,0.9882665825737315
PC91,0.0005134250628463241,0.9887800076365778
PC92,0.0004968648655968846,0.9892768725021747
PC93,0.0004916144819662975,0.989768486984141
PC94,0.00047028069512054804,0.9902387676792616
PC95,0.0004632840499543895,0.990702051729216
PC96,0.00042413568953547886,0.9911261874187515
PC97,0.00040626723795044746,0.9915324546567019
PC98,0.00039244320009512783,0.991924897856797
PC99,0.0003800971813723147,0.9923049950381694
PC100,0.0003633299870348923,0.9926683250252043
PC101,0.0003480475482117027,0.993016372573416
PC102,0.00033373984058287804,0.9933501124139988
PC103,0.00030677810863335227,0.9936568905226322
PC104,0.0002891829249892871,0.9939460734476214
PC105,0.0002807363630008876,0.9942268098106223
PC106,0.0002706330390639835,0.9944974428496862
PC107,0.0002564074225658113,0.994753850272252
PC108,0.0002498158378445982,0.9950036661100966
PC109,0.0002480067970602727,0.9952516729071569
PC110,0.0002427115728896688,0.9954943844800466
PC111,0.0002242234512873916,0.9957186079313339
PC112,0.00021083301079252286,0.9959294409421264
PC113,0.000200304697746229,0.9961297456398727
PC114,0.00019649991012583897,0.9963262455499985
PC115,0.0001832751469332637,0.9965095206969318
PC116,0.00018037139622994357,0.9966898920931617
PC117,0.00017381866940271556,0.9968637107625644
PC118,0.000164043587820856,0.9970277543503853
PC119,0.00015903631619140592,0.9971867906665767
PC120,0.00014822511664550254,0.9973350157832221
PC121,0.00014494241595273274,0.9974799581991749
PC122,0.00013787145083161861,0.9976178296500066
PC123,0.00013144255999982384,0.9977492722100064
PC124,0.00012322668233126608,0.9978724988923376
PC125,0.00011795459802894021,0.9979904534903666
PC126,0.00011277946791551456,0.9981032329582822
PC127,0.00010390129469629865,0.9982071342529785
PC128,9.168578529307871e-05,0.9982988200382715
PC129,8.920453307442493e-05,0.9983880245713459
PC130,8.36138542911697e-05,0.998471638425637
PC131,7.838680938348573e-05,0.9985500252350205
PC132,7.741098063927847e-05,0.9986274362156597
PC133,7.480674812444751e-05,0.9987022429637842
PC134,7.304825827531319e-05,0.9987752912220595
PC135,7.139981960815864e-05,0.9988466910416677
PC136,7.026908887002987e-05,0.9989169601305377
PC137,6.981669783071769e-05,0.9989867768283683
PC138,6.42365952973652e-05,0.9990510134236658
PC139,5.62276424774291e-05,0.9991072410661432
PC140,5.343341786347111e-05,0.9991606744840067
PC141,5.03652417627116e-05,0.9992110397257694
PC142,4.877255399841906e-05,0.9992598122797678
PC143,4.693002751809853e-05,0.9993067423072859
PC144,4.404577842738042e-05,0.9993507880857133
PC145,4.1018524070776405e-05,0.9993918066097841
PC146,3.7457769025085824e-05,0.9994292643788092
PC147,3.7333977701317194e-05,0.9994665983565105
PC148,3.503107712290688e-05,0.9995016294336334
PC149,3.429568147481013e-05,0.9995359251151082
PC150,3.20484123451759e-05,0.9995679735274534
PC151,3.141128679770867e-05,0.9995993848142511
PC152,2.7987679528899955e-05,0.9996273724937801
PC153,2.6512699125636574e-05,0.9996538851929058
PC154,2.3494870341767263e-05,0.9996773800632476
PC155,2.226341394573798e-05,0.9996996434771933
PC156,2.0830180814046728e-05,0.9997204736580073
PC157,2.0038641504869882e-05,0.9997405122995122
PC158,1.8292536403329906e-05,0.9997588048359155
PC159,1.7880092357438664e-05,0.999776684928273
PC160,1.7463861147493858e-05,0.9997941487894205
PC161,1.5380306163081793e-05,0.9998095290955836
PC162,1.5125762615296203e-05,0.9998246548581989
PC163,1.3514407219161166e-05,0.9998381692654181
PC164,1.3127220483430155e-05,0.9998512964859015
PC165,1.230423003501496e-05,0.9998636007159366
PC166,1.057350928349442e-05,0.9998741742252201
PC167,1.0436209939263532e-05,0.9998846104351593
PC168,9.72791836796822e-06,0.9998943383535273
PC169,9.277947953342355e-06,0.9999036163014806
PC170,8.524743679044764e-06,0.9999121410451597
PC171,7.612576919901619e-06,0.9999197536220796
PC172,7.025335940205499e-06,0.9999267789580198
PC173,6.521841351205562e-06,0.999933300799371
PC174,6.393709068255804e-06,0.9999396945084393
PC175,6.1744805844069e-06,0.9999458689890237
PC176,5.611704607953161e-06,0.9999514806936317
PC177,5.116951257112674e-06,0.9999565976448889
PC178,4.948921599808191e-06,0.9999615465664887
PC179,4.683293246260679e-06,0.9999662298597349
PC180,4.40487197701626e-06,0.999970634731712
PC181,3.5632750835246363e-06,0.9999741980067955
PC182,3.1964434776907084e-06,0.9999773944502732
PC183,2.7945091553871368e-06,0.9999801889594286
PC184,2.467942812310765e-06,0.999982656902241
PC185,2.1915750626808267e-06,0.9999848484773036
PC186,2.0058373648040807e-06,0.9999868543146684
PC187,1.8907963723981819e-06,0.9999887451110407
PC188,1.5305507036590552e-06,0.9999902756617444
PC189,1.5226249232132282e-06,0.9999917982866676
PC190,1.3300507239953235e-06,0.9999931283373916
PC191,1.1723057467538122e-06,0.9999943006431383
PC192,1.1389357521019873e-06,0.9999954395788905
PC193,9.668175340900022e-07,0.9999964063964246
PC194,8.266615516541056e-07,0.9999972330579763
PC195,6.113978851626196e-07,0.9999978444558615
PC196,4.3670587152743455e-07,0.9999982811617331
PC197,3.832805315980574e-07,0.9999986644422647
PC198,3.2493655285956124e-07,0.9999989893788176
PC199,1.9405132627112877e-07,0.9999991834301438
PC200,1.641498147274079e-07,0.9999993475799586
PC201,1.4241559155725307e-07,0.9999994899955501
PC202,1.1367413510751996e-07,0.9999996036696852
PC203,9.441785021887312e-08,0.9999996980875354
PC204,7.703978875856775e-08,0.9999997751273242
PC205,6.866831575092837e-08,0.9999998437956399
PC206,3.7886003877673415e-08,0.9999998816816438
PC207,3.472039570203596e-08,0.9999999164020394
PC208,3.01695977960668e-08,0.9999999465716373
PC209,1.9338707239327165e-08,0.9999999659103445
PC210,1.5293831404932766e-08,0.9999999812041759
PC211,1.1185651035176304e-08,0.999999992389827
PC212,4.705355519772801e-09,0.9999999970951825
PC213,2.8791188073106743e-09,0.9999999999743013
PC214,2.569925329850189e-11,1.0000000000000007
PC215,5.63778567593133e-18,1.0000000000000007
