City,State,US_AQI,PCA1,PCA2,TSNE1,TSNE2,UMAP1,UMAP2
Hyderabad,Telangana,16.0,-9.688232045586963,-3.831159799947682,-61.11358,-58.617203,-8.27374771782721,-3.2321775680753038
Patna,Bihar,31.0,-6.925629389663538,-4.846648308233758,-53.031017,-36.78055,-5.981650831868705,-4.10420553642817
Delhi,Delhi,117.0,5.610187937269732,3.27556210240151,59.889137,-3.2016475,4.787824473336621,2.877928609262175
Thiruvananthapuram,Kerala,55.0,-7.430446610413496,-1.9985137964799433,-17.18291,-85.55506,-6.348912461196782,-1.689350816627751
Bhubaneswar,Odisha,13.0,-10.135234789397957,-3.849477287398491,-100.229385,-22.481354,-8.606996430889666,-3.3273582726017925
Bhopal,Madhya Pradesh,51.0,-6.604830661245515,-1.1981107935034665,-53.41079,-14.652182,-5.6143814255610645,-1.085471971397398
Agartala,Tripura,86.0,-2.601524758311374,-0.7128894042408408,-23.647823,0.08450784,-2.163147812773014,-0.5764194850441173
Ranchi,Jharkhand,135.0,-0.24033831824602084,10.825679028066629,15.85424,72.124054,-0.18270909738980112,9.169979133013829
Aizawl,Mizoram,120.0,-4.562703241093568,5.047043602044834,-5.694872,58.65632,-3.8073595190545637,4.235746986173627
Chandigarh,Punjab,124.0,-1.230554992806767,7.941872724711534,15.322544,74.34135,-1.0434707660886626,6.692132202547358
Gangtok,Sikkim,59.0,-3.5268035397595803,-3.6654473279971356,-79.6465,32.708313,-3.006943445101929,-3.0520774708148135
Hyderabad,Telangana,51.0,-5.289369256626675,-2.982386963158929,-31.1911,-37.733913,-4.4723434743011055,-2.58108011531553
Panaji,Goa,59.0,-4.535563685402386,-3.02173014955384,-15.784745,-76.8233,-3.8813327782241096,-2.587444503963214
Visakhapatnam,Andhra Pradesh,100.0,5.393679151996459,-7.910377528542346,53.595303,-76.8668,4.542912293256737,-6.7101914589223695
Ahmedabad,Gujarat,163.0,7.480263786525777,0.8602770053007289,69.22804,8.302008,6.467415279969326,0.7032639750736648
Kolkata,West Bengal,124.0,2.2965547630456484,-1.541245091863233,6.4022455,43.004337,2.0485623639564214,-1.3102391343493396
Bhubaneswar,Odisha,57.0,-7.017270952272328,-0.03826898258617463,-30.094427,-30.96297,-5.9485718602322954,-0.019485447564720326
Jaipur,Rajasthan,119.0,-0.8528306211767605,2.719057449943247,-12.700547,13.110073,-0.8097236578888967,2.333933459004512
Thiruvananthapuram,Kerala,58.0,-6.694298331492337,0.9449694055234884,-47.47261,-76.38977,-5.811755496835809,0.8136851032528001
Imphal,Manipur,45.0,-7.891034229334134,-3.467012704548816,-67.97606,-0.90592754,-6.699239722736684,-3.0237065441045754
Ahmedabad,Gujarat,72.0,-4.588012111263684,-1.3576367309665303,-35.68775,-54.76861,-3.89657174902998,-1.1686353310134148
Lucknow,Uttar Pradesh,116.0,-0.6356704195207774,8.732828570667072,18.696865,80.36399,-0.5480042159528834,7.415725717595901
Agartala,Tripura,101.0,-0.16869929878444856,0.9161312999166209,47.887276,40.1858,-0.17284730768992887,0.782496583566329
Lucknow,Uttar Pradesh,106.0,0.7422261087266618,0.2641436320390516,-3.0414767,-20.547926,0.6741753476962344,0.2125744229948042
Gurugram,Haryana,142.0,12.175474651787765,-6.64233366742178,59.08379,-25.403223,10.346640862079179,-5.613525615265045
Mumbai,Maharashtra,89.0,2.4026509812321355,0.49974721404793054,39.610897,-72.44992,2.1557329796496134,0.4151448620964991
Bengaluru,Karnataka,71.0,-2.44177948101088,-5.278781163920933,-12.572727,-59.008938,-2.1606262353387438,-4.5317983661086165
Visakhapatnam,Andhra Pradesh,118.0,6.228695715981354,0.01276885658360942,75.950134,10.691704,5.324513541750835,0.08648474174820808
Panaji,Goa,38.0,-9.62667679791974,-2.4713788505555954,-65.622696,-65.77592,-8.229960543681866,-2.1028430141096335
Aizawl,Mizoram,157.0,3.6365610129706947,2.463551814899237,61.35952,38.215996,3.0920411655050266,2.055577988091147
Shimla,Himachal Pradesh,38.0,-5.7120289943273885,-2.2621993924015986,-69.74845,35.805737,-4.778462978151319,-1.8646657024309463
Gurugram,Haryana,131.0,2.203931452780784,7.447695782516086,30.63047,8.449553,1.8905494018421705,6.309546191729534
Dehradun,Uttarakhand,160.0,10.343277385443997,4.571624632793306,68.244736,22.980051,8.839597136318858,3.911577737631044
Ranchi,Jharkhand,66.0,-6.418792655970185,-1.223376769714146,-65.98023,-58.692196,-5.47782582997092,-0.9912968416696109
Mumbai,Maharashtra,76.0,1.8508390442127909,-3.3812052006426603,31.862297,-82.43125,1.591674829964365,-2.957059022615964
Gurugram,Haryana,84.0,-0.3881088148657993,-2.8697981096962493,-4.0277557,-25.975983,-0.37950380698994024,-2.5057978733226385
Mumbai,Maharashtra,70.0,-6.486074776843645,-1.9614363133180497,-40.33725,-87.620186,-5.461603534897959,-1.702328293295115
Bhopal,Madhya Pradesh,88.0,-3.2058066602289994,0.4076358471819112,20.305426,38.847557,-2.6935770653205555,0.45508411066784976
Delhi,Delhi,151.0,6.02621194386236,2.561552568743496,7.5641522,-0.24847788,5.161986886816039,2.1563712279078673
Ranchi,Jharkhand,64.0,-2.928646088635046,-3.174469805037815,-35.46098,-18.231306,-2.5265329897307574,-2.713616707715922
Visakhapatnam,Andhra Pradesh,120.0,1.7166808236694988,0.6297753271410677,39.459007,-59.12366,1.407790615692053,0.47808492726775287
Imphal,Manipur,45.0,-5.636033165193179,-2.7692738917305957,-65.5539,23.018076,-4.8308764245152735,-2.327272317936063
Panaji,Goa,59.0,-5.196636310260901,1.5438830661752632,-1.7618897,-68.77672,-4.443183765492256,1.3010364118726143
Raipur,Chhattisgarh,167.0,8.554181730566027,0.7691709173936344,37.675846,-46.117107,7.2945137965754485,0.6901571515263576
Guwahati,Assam,76.0,-4.6246390375929165,-0.22978243349152955,-47.499535,-11.603527,-4.027408708073823,-0.2814817048905455
Bhopal,Madhya Pradesh,59.0,-6.554212675990254,-1.368710553747857,-52.874798,-21.849762,-5.590382372717222,-1.2191447451629294
Aizawl,Mizoram,59.0,-6.390357036413065,2.441643372471433,-37.351067,56.813503,-5.389076689524221,2.0522044258152934
Delhi,Delhi,109.0,1.3637200163197056,1.3123334778317968,4.545114,-2.2129903,1.2490426280251103,1.0910875871606562
Shillong,Meghalaya,88.0,-4.547711756990737,2.5064314568369483,-18.108683,48.662205,-3.8501238583566986,2.097113727681416
Bhubaneswar,Odisha,121.0,1.832326490563349,2.206307219382829,51.750237,44.454063,1.5818573671442522,1.900841172211438
Jaipur,Rajasthan,82.0,2.681861471646247,-4.345777388860868,47.756725,22.96232,2.323969762305513,-3.7006248190799056
Hyderabad,Telangana,79.0,-0.461349662687207,-0.2629924268949693,25.394594,-20.367485,-0.3286298644737278,-0.20856201200186628
Bhopal,Madhya Pradesh,84.0,-3.3465050882258613,-1.4774515062038225,12.325246,-40.933636,-2.8766869176928624,-1.2876341498832005
Shillong,Meghalaya,62.0,-6.786572065262076,-0.08530756547720958,-50.463406,23.345001,-5.732145127331157,-0.009298436463317308
Dehradun,Uttarakhand,70.0,-2.155414694055937,0.3358073873541076,-2.7521403,53.38658,-1.8882056132962344,0.32298532857326334
Agartala,Tripura,118.0,4.923317098706107,-4.863805777600586,28.867966,-26.00137,4.110501734177709,-4.165109074521683
Bhopal,Madhya Pradesh,47.0,-7.550369700926426,0.36813937983529865,-36.733482,-1.8360766,-6.393327560388377,0.2705428380133294
Bengaluru,Karnataka,27.0,-7.060329017876234,-3.9775039234500436,-30.655443,-67.306114,-5.927991965316537,-3.3504493383151757
Agartala,Tripura,126.0,-1.6199123985096282,2.038485845761319,-19.622536,43.34291,-1.436001692298924,1.7654862502936943
Visakhapatnam,Andhra Pradesh,92.0,11.238152167747335,-11.525018813832906,76.85915,-46.90407,9.486410921756374,-9.796081009208253
Dehradun,Uttarakhand,136.0,6.392547531487633,2.4034499378370358,16.297932,-11.325732,5.47753138673974,2.0783973722253055
Kohima,Nagaland,29.0,-6.247501965520833,-4.1080910401229485,-88.04609,3.742032,-5.314694244367567,-3.5090918748213316
Bengaluru,Karnataka,123.0,-1.751068626173806,6.457607920671122,6.0412555,36.00336,-1.5462983406201352,5.498096395064652
Dehradun,Uttarakhand,55.0,-6.858514286449113,1.9899443512588126,-33.48201,2.1808076,-5.78951273829186,1.7946890158045525
Imphal,Manipur,56.0,-6.614445299041872,-2.111782852386075,-49.638474,-1.267455,-5.645085135993272,-1.7526822064028384
Panaji,Goa,65.0,-5.66812564989329,3.4685503043090407,-15.194719,25.789856,-4.779682998772956,2.9244431928037837
Raipur,Chhattisgarh,126.0,6.63106847060228,-3.5085214926278474,61.346874,32.626007,5.672456501518021,-3.023060978210486
Gangtok,Sikkim,73.0,-5.146268126957696,0.8239815717347544,-51.3856,31.215263,-4.3614768585273636,0.6898196612089181
Guwahati,Assam,87.0,-4.613051498148736,3.7425568534715485,-16.200214,38.520958,-3.898916284974362,3.2073317406268314
Shillong,Meghalaya,36.0,-7.318196842056535,-2.249038465224491,-73.62651,0.7781974,-6.246903422487689,-1.9121663615232334
Itanagar,Arunachal Pradesh,54.0,-5.961941437538053,-2.0837449777259187,-81.92788,22.433105,-5.074081864727693,-1.8256562839183859
Ranchi,Jharkhand,118.0,0.8989970506404039,5.431353486014364,20.92656,59.77374,0.7456584583611159,4.587698019377827
Bhopal,Madhya Pradesh,59.0,-6.104262761927842,1.8798629863902654,23.56544,46.016968,-5.244978639528053,1.557692347136236
Gurugram,Haryana,155.0,17.537963681886517,-3.520922933002297,60.28332,-25.840826,14.894356286495823,-2.990033287614514
Lucknow,Uttar Pradesh,66.0,-0.015252890181809819,-5.810978113446912,-7.742413,-41.40588,-0.075148730092617,-4.879316430727394
Lucknow,Uttar Pradesh,173.0,7.462055936921204,1.2972574631717717,36.465683,-48.323036,6.373414934691619,1.0984088358311936
Panaji,Goa,51.0,-7.461884060780068,2.0260450963384864,-15.726593,26.966219,-6.4035476688740385,1.7115109192927829
Ahmedabad,Gujarat,102.0,5.971835128480604,-7.112686423406442,44.83887,-31.320154,5.062396954313466,-6.099807362424984
Kohima,Nagaland,51.0,-7.995918506579727,-2.613296998149107,-76.23715,-16.080093,-6.854618515994718,-2.1829795521894964
Delhi,Delhi,130.0,8.009966283579582,-1.514710175465185,57.341988,-7.8883805,6.7922713880883805,-1.2432251576179658
Bengaluru,Karnataka,34.0,-4.0967304037124865,-4.277968606197727,-3.9285655,-65.003426,-3.4828793314511137,-3.5986893363985137
Raipur,Chhattisgarh,135.0,1.9198227301854496,4.641750523864771,47.0006,7.5927944,1.667765660089685,3.9688209015974287
Delhi,Delhi,161.0,16.827339904847186,-7.500716352157947,72.69251,-36.919277,14.362370055609592,-6.370592478153349
Hyderabad,Telangana,29.0,-7.76938625757507,-2.6501405162461604,-41.726734,-37.578236,-6.678715090308573,-2.3193801952063624
Agartala,Tripura,96.0,-3.2890773540947933,4.168868633119102,-14.190965,38.985867,-2.8283557114161373,3.5806357262006574
Bhubaneswar,Odisha,75.0,-5.064751312009382,4.673764354559736,-4.0673313,34.333866,-4.325041385104559,3.9829651000669974
Jaipur,Rajasthan,76.0,-0.4657278560099175,10.075715816614865,59.22649,68.092995,-0.3690848297180821,8.572578587186456
Delhi,Delhi,142.0,6.66919621303022,2.5159280699655056,34.40717,7.6471734,5.554260389024744,2.079193208286339
Aizawl,Mizoram,52.0,-7.276622298373921,0.21368594308048677,-48.92116,21.003273,-6.096833194268771,0.19793605401308367
Patna,Bihar,146.0,7.268480044943668,-0.9145148659643275,53.102142,17.40944,6.043224694875494,-0.7738515762657004
Bhubaneswar,Odisha,67.0,-5.197130979229936,-1.2376253057000732,-30.376001,-45.460083,-4.327429550357442,-1.0382916951837806
Ranchi,Jharkhand,115.0,4.744569274980981,-1.8324905185028435,39.878223,-53.632736,4.035103689028528,-1.649035045321327
Thiruvananthapuram,Kerala,26.0,-9.940653651033763,-2.4526266010427498,-34.22709,-86.577484,-8.463099693092936,-2.1668937067132203
Agartala,Tripura,181.0,8.389869038536274,6.894605437526685,75.547195,19.832962,7.070265863647533,5.787855806656121
Mumbai,Maharashtra,92.0,-1.7359348465532392,0.1573307410313853,-23.053164,-45.506676,-1.3885726183794491,0.17013297201001684
Dehradun,Uttarakhand,134.0,6.029900611228685,6.535432787292134,51.210007,48.811104,5.195464657570079,5.488944438858751
Visakhapatnam,Andhra Pradesh,155.0,34.08365464010899,-17.746888328926882,85.42737,-38.280285,28.980644708920707,-15.135259761349408
Ahmedabad,Gujarat,70.0,-4.793128705722797,-2.7781557772266616,-37.388557,-55.652523,-4.1192153792177475,-2.337960250861129
Bengaluru,Karnataka,96.0,5.8140145484261705,-6.966595464379012,49.157593,-30.240225,4.950852528832803,-5.907294642754395
Thiruvananthapuram,Kerala,27.0,-9.595318403059503,-2.4475224310155355,-34.00269,-86.8652,-8.218826896286327,-2.0740144801115274
Shillong,Meghalaya,38.0,-8.179595876684719,-1.2211981584028546,-80.3764,0.5229538,-6.935271187261345,-1.0717784280639902
Raipur,Chhattisgarh,161.0,1.0830229047366482,7.909664616918774,26.232605,68.312996,0.9069726843373579,6.64095021930054
Imphal,Manipur,82.0,-2.224907797046567,0.5054867540013415,-37.736355,-16.793238,-1.998957420699596,0.5300797347731325
Itanagar,Arunachal Pradesh,81.0,-4.063766770836501,2.2288780977238316,-79.513115,-45.97619,-3.443959943146854,1.8766005233219505
Kolkata,West Bengal,59.0,-7.071963096407899,-1.0648081337385196,-36.73656,-33.27027,-5.97125688770101,-0.9485924316504161
Guwahati,Assam,115.0,-0.4123870987715478,0.9607006662754286,-8.911297,68.165184,-0.3450212886406206,0.871908104732788
Chandigarh,Punjab,126.0,6.384591362684201,-0.9435859711749982,57.36095,-10.919064,5.371799381810374,-0.8266481613521843
Ranchi,Jharkhand,98.0,-0.8264412437564987,3.2613336405031066,9.485741,53.466408,-0.7715132030832037,2.8138946417080977
Patna,Bihar,97.0,5.1058153779023225,-4.032498110555571,38.756126,-33.70357,4.350211849048909,-3.369038940379704
